# Data-only phi-segmented torus map for the asciimap plugin (see torus.yaml).
# Complete 4 x 6 x 6 grid (made-up but smooth values for a runnable example).
# Columns: azimuthal[deg]  transverse[cm]  longitudinal[cm]  Bx[kG]  By[kG]  Bz[kG]
  0.0   500.0   500.0    0.000000e+00    1.025609e+01    2.848914e-01
  0.0   500.0   600.0    0.000000e+00    3.773005e+00    1.048057e-01
 10.0     0.0   100.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0     0.0   200.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0     0.0   300.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0     0.0   400.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0     0.0   500.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0     0.0   600.0    0.000000e+00    0.000000e+00    0.000000e+00
 10.0   100.0   100.0    1.455945e-02    7.431369e-01    2.096114e-02
 10.0   100.0   200.0    3.957670e-02    2.020056e+00    5.697828e-02
 10.0   100.0   300.0    6.525095e-02    3.330509e+00    9.394131e-02
 10.0   100.0   400.0    6.525095e-02    3.330509e+00    9.394131e-02
 10.0   100.0   500.0    3.957670e-02    2.020056e+00    5.697828e-02
 10.0   100.0   600.0    1.455945e-02    7.431369e-01    2.096114e-02
 10.0   200.0   100.0    2.911891e-02    1.486274e+00    4.192228e-02
 10.0   200.0   200.0    7.915340e-02    4.040111e+00    1.139566e-01
 10.0   200.0   300.0    1.305019e-01    6.661017e+00    1.878826e-01
 10.0   200.0   400.0    1.305019e-01    6.661017e+00    1.878826e-01
 10.0   200.0   500.0    7.915340e-02    4.040111e+00    1.139566e-01
 10.0   200.0   600.0    2.911891e-02    1.486274e+00    4.192228e-02
 10.0   300.0   100.0    4.367836e-02    2.229411e+00    6.288342e-02
 10.0   300.0   200.0    1.187301e-01    6.060167e+00    1.709348e-01
 10.0   300.0   300.0    1.957528e-01    9.991526e+00    2.818239e-01
 10.0   300.0   400.0    1.957528e-01    9.991526e+00    2.818239e-01
 10.0   300.0   500.0    1.187301e-01    6.060167e+00    1.709348e-01
 10.0   300.0   600.0    4.367836e-02    2.229411e+00    6.288342e-02
 10.0   400.0   100.0    5.823782e-02    2.972548e+00    8.384455e-02
 10.0   400.0   200.0    1.583068e-01    8.080222e+00    2.279131e-01
 10.0   400.0   300.0    2.610038e-01    1.332203e+01    3.757652e-01
 10.0   400.0   400.0    2.610038e-01    1.332203e+01    3.757652e-01
 10.0   400.0   500.0    1.583068e-01    8.080222e+00    2.279131e-01
 10.0   400.0   600.0    5.823782e-02    2.972548e+00    8.384455e-02
 10.0   500.0   100.0    7.279727e-02    3.715685e+00    1.048057e-01
 10.0   500.0   200.0    1.978835e-01    1.010028e+01    2.848914e-01
 10.0   500.0   300.0    3.262547e-01    1.665254e+01    4.697065e-01
 10.0   500.0   400.0    3.262547e-01    1.665254e+01    4.697065e-01
 10.0   500.0   500.0    1.978835e-01    1.010028e+01    2.848914e-01
 10.0   500.0   600.0    7.279727e-02    3.715685e+00    1.048057e-01
 20.0     0.0   100.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0     0.0   200.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0     0.0   300.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0     0.0   400.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0     0.0   500.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0     0.0   600.0    0.000000e+00    0.000000e+00    0.000000e+00
 20.0   100.0   100.0    2.867653e-02    7.090930e-01    2.096114e-02
 20.0   100.0   200.0    7.795088e-02    1.927515e+00    5.697828e-02
 20.0   100.0   300.0    1.285193e-01    3.177934e+00    9.394131e-02
 20.0   100.0   400.0    1.285193e-01    3.177934e+00    9.394131e-02
 20.0   100.0   500.0    7.795088e-02    1.927515e+00    5.697828e-02
 20.0   100.0   600.0    2.867653e-02    7.090930e-01    2.096114e-02
 20.0   200.0   100.0    5.735305e-02    1.418186e+00    4.192228e-02
 20.0   200.0   200.0    1.559018e-01    3.855029e+00    1.139566e-01
 20.0   200.0   300.0    2.570386e-01    6.355869e+00    1.878826e-01
 20.0   200.0   400.0    2.570386e-01    6.355869e+00    1.878826e-01
 20.0   200.0   500.0    1.559018e-01    3.855029e+00    1.139566e-01
 20.0   200.0   600.0    5.735305e-02    1.418186e+00    4.192228e-02
 20.0   300.0   100.0    8.602958e-02    2.127279e+00    6.288342e-02
 20.0   300.0   200.0    2.338526e-01    5.782544e+00    1.709348e-01
 20.0   300.0   300.0    3.855578e-01    9.533803e+00    2.818239e-01
 20.0   300.0   400.0    3.855578e-01    9.533803e+00    2.818239e-01
 20.0   300.0   500.0    2.338526e-01    5.782544e+00    1.709348e-01
 20.0   300.0   600.0    8.602958e-02    2.127279e+00    6.288342e-02
 20.0   400.0   100.0    1.147061e-01    2.836372e+00    8.384455e-02
 20.0   400.0   200.0    3.118035e-01    7.710058e+00    2.279131e-01
 20.0   400.0   300.0    5.140771e-01    1.271174e+01    3.757652e-01
 20.0   400.0   400.0    5.140771e-01    1.271174e+01    3.757652e-01
 20.0   400.0   500.0    3.118035e-01    7.710058e+00    2.279131e-01
 20.0   400.0   600.0    1.147061e-01    2.836372e+00    8.384455e-02
 20.0   500.0   100.0    1.433826e-01    3.545465e+00    1.048057e-01
 20.0   500.0   200.0    3.897544e-01    9.637573e+00    2.848914e-01
 20.0   500.0   300.0    6.425964e-01    1.588967e+01    4.697065e-01
 20.0   500.0   400.0    6.425964e-01    1.588967e+01    4.697065e-01
 20.0   500.0   500.0    3.897544e-01    9.637573e+00    2.848914e-01
 20.0   500.0   600.0    1.433826e-01    3.545465e+00    1.048057e-01
 30.0     0.0   100.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0     0.0   200.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0     0.0   300.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0     0.0   400.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0     0.0   500.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0     0.0   600.0    0.000000e+00    0.000000e+00    0.000000e+00
 30.0   100.0   100.0    4.192228e-02    6.535036e-01    2.096114e-02
 30.0   100.0   200.0    1.139566e-01    1.776407e+00    5.697828e-02
 30.0   100.0   300.0    1.878826e-01    2.928800e+00    9.394131e-02
 30.0   100.0   400.0    1.878826e-01    2.928800e+00    9.394131e-02
 30.0   100.0   500.0    1.139566e-01    1.776407e+00    5.697828e-02
 30.0   100.0   600.0    4.192228e-02    6.535036e-01    2.096114e-02
 30.0   200.0   100.0    8.384455e-02    1.307007e+00    4.192228e-02
 30.0   200.0   200.0    2.279131e-01    3.552814e+00    1.139566e-01
 30.0   200.0   300.0    3.757652e-01    5.857600e+00    1.878826e-01
 30.0   200.0   400.0    3.757652e-01    5.857600e+00    1.878826e-01
 30.0   200.0   500.0    2.279131e-01    3.552814e+00    1.139566e-01
 30.0   200.0   600.0    8.384455e-02    1.307007e+00    4.192228e-02
 30.0   300.0   100.0    1.257668e-01    1.960511e+00    6.288342e-02
 30.0   300.0   200.0    3.418697e-01    5.329221e+00    1.709348e-01
 30.0   300.0   300.0    5.636478e-01    8.786400e+00    2.818239e-01
 30.0   300.0   400.0    5.636478e-01    8.786400e+00    2.818239e-01
 30.0   300.0   500.0    3.418697e-01    5.329221e+00    1.709348e-01
 30.0   300.0   600.0    1.257668e-01    1.960511e+00    6.288342e-02
 30.0   400.0   100.0    1.676891e-01    2.614015e+00    8.384455e-02
 30.0   400.0   200.0    4.558263e-01    7.105628e+00    2.279131e-01
 30.0   400.0   300.0    7.515305e-01    1.171520e+01    3.757652e-01
 30.0   400.0   400.0    7.515305e-01    1.171520e+01    3.757652e-01
 30.0   400.0   500.0    4.558263e-01    7.105628e+00    2.279131e-01
 30.0   400.0   600.0    1.676891e-01    2.614015e+00    8.384455e-02
 30.0   500.0   100.0    2.096114e-01    3.267518e+00    1.048057e-01
 30.0   500.0   200.0    5.697828e-01    8.882035e+00    2.848914e-01
 30.0   500.0   300.0    9.394131e-01    1.464400e+01    4.697065e-01
 30.0   500.0   400.0    9.394131e-01    1.464400e+01    4.697065e-01
 30.0   500.0   500.0    5.697828e-01    8.882035e+00    2.848914e-01
 30.0   500.0   600.0    2.096114e-01    3.267518e+00    1.048057e-01
